customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PredictedChurn,ActualChurn,Contract,gender,PaymentMethod,CustomerSegment
8800-JOOCF,0,0,1,12.0,1,1,84.05,966.55,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,Month-to-month,Female,Electronic check,At Risk
1862-QRWPE,0,1,1,48.0,1,0,20.65,1057.0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,Two year,Female,Bank transfer (automatic),Loyal
5299-RULOA,0,1,1,10.0,1,1,100.25,1064.65,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,1,Month-to-month,Female,Electronic check,At Risk
7781-HVGMK,0,1,1,72.0,0,1,65.2,4784.45,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0,Two year,Female,Credit card (automatic),Loyal
8393-DLHGA,0,0,1,25.0,1,1,95.9,2448.75,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,1,Month-to-month,Male,Electronic check,Loyal
4706-DGAHW,1,0,0,1.0,1,0,45.2,45.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,Month-to-month,Male,Electronic check,At Risk
1545-JFUML,0,1,0,71.0,1,1,99.0,6994.6,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,0,0,Two year,Male,Electronic check,Loyal
5650-VDUDS,0,0,0,4.0,0,1,24.25,96.05,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,Month-to-month,Female,Mailed check,Dormant
4274-DRSQT,0,0,0,66.0,1,1,88.9,6000.1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0,One year,Female,Bank transfer (automatic),Loyal
8774-GSBUN,0,1,0,72.0,1,0,25.4,1797.1,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,Two year,Male,Mailed check,Loyal
3088-FVYWK,0,1,1,53.0,1,0,25.55,1336.1,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,Two year,Male,Credit card (automatic),Loyal
6994-ORCWG,0,0,0,14.0,1,1,54.25,773.2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0,0,One year,Female,Mailed check,Loyal
3640-JQGJG,0,1,1,13.0,1,0,44.8,559.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,Month-to-month,Male,Bank transfer (automatic),Loyal
5440-VHLUL,0,0,0,69.0,1,1,105.2,7386.05,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,1,0,One year,Male,Bank transfer (automatic),At Risk
3427-GGZZI,0,1,0,19.0,1,1,89.1,1620.8,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,Month-to-month,Female,Electronic check,At Risk
2676-SSLTO,0,0,0,49.0,1,1,66.15,3199.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,0,0,Two year,Male,Bank transfer (automatic),Loyal
9564-KCLHR,0,0,0,1.0,1,0,51.25,51.25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,1,Month-to-month,Male,Mailed check,Dormant
3756-VNWDH,1,1,0,65.0,1,1,100.75,6674.65,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,0,0,One year,Male,Electronic check,Loyal
5304-EFJLP,1,1,0,72.0,1,1,111.65,8022.85,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0,Two year,Male,Bank transfer (automatic),Loyal
3166-PNEOF,0,0,0,61.0,1,0,86.45,5175.3,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0,Two year,Female,Credit card (automatic),Loyal
9661-MHUMO,1,1,1,1.0,1,1,49.25,49.25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,1,Month-to-month,Male,Credit card (automatic),Dormant
2931-XIQBR,0,1,1,50.0,1,0,103.05,5153.5,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,0,0,One year,Female,Mailed check,Loyal
0939-YAPAF,0,0,0,35.0,1,1,100.25,3527.6,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,1,Month-to-month,Female,Electronic check,Loyal
8258-GSTJK,1,0,0,3.0,1,1,77.0,237.75,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,Month-to-month,Male,Electronic check,At Risk
2178-PMGCJ,0,0,0,22.0,1,1,69.7,1490.4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,Month-to-month,Male,Mailed check,Loyal
1400-WIVLL,0,1,0,57.0,1,0,107.95,5969.85,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,0,0,Two year,Male,Electronic check,Loyal
5248-YGIJN,0,1,0,72.0,1,1,90.25,6369.45,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0,Two year,Male,Credit card (automatic),Loyal
5687-DKDTV,0,0,0,4.0,1,0,20.35,77.5,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,1,Month-to-month,Female,Mailed check,Dormant
1159-WFSGR,0,1,1,16.0,1,0,20.4,321.4,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0,Month-to-month,Female,Electronic check,Loyal
9453-PATOS,0,1,0,72.0,1,0,85.1,6155.4,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0,0,Two year,Female,Mailed check,Loyal
7382-DFJTU,0,0,0,18.0,1,0,55.2,1058.1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,0,Month-to-month,Male,Credit card (automatic),Loyal
1928-BXYIV,0,0,0,1.0,1,0,61.15,61.15,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,Month-to-month,Male,Electronic check,Dormant
4232-JGKIY,0,0,0,1.0,1,0,19.2,19.2,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0,Month-to-month,Male,Electronic check,Dormant
1576-PFZIW,1,1,0,70.0,1,0,105.35,7511.9,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0,0,Two year,Male,Credit card (automatic),Loyal
2608-BHKFN,0,0,0,4.0,1,1,70.05,266.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,Month-to-month,Female,Credit card (automatic),At Risk
4423-JWZJN,0,1,1,64.0,1,0,90.25,5629.15,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,0,0,One year,Male,Credit card (automatic),Loyal
6035-BXTTY,1,0,0,32.0,1,0,54.65,1830.1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,Month-to-month,Female,Bank transfer (automatic),Loyal
4612-THJBS,1,0,0,56.0,1,1,104.75,5510.65,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,0,1,One year,Female,Bank transfer (automatic),Loyal
8181-YHCMF,0,1,1,68.0,0,0,60.3,4109.0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0,Two year,Female,Credit card (automatic),Loyal
8390-FESFV,0,0,0,62.0,1,0,84.5,5193.2,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0,Two year,Female,Bank transfer (automatic),Loyal
5317-FLPJF,0,0,0,66.0,0,1,61.35,4193.4,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0,Two year,Female,Bank transfer (automatic),Loyal
0164-XAIRP,0,0,0,24.0,1,1,19.55,470.2,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,Two year,Female,Bank transfer (automatic),Loyal
1942-OQFRW,0,0,0,1.0,1,0,44.0,44.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,Month-to-month,Male,Electronic check,At Risk
2176-LVPNX,1,0,0,71.0,1,0,89.85,6293.45,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0,0,Two year,Female,Mailed check,Loyal
4622-YNKIJ,0,0,0,33.0,1,1,88.95,3027.65,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0,0,Two year,Male,Electronic check,Loyal
0519-DRGTI,0,1,1,20.0,1,0,20.35,442.6,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0,Month-to-month,Female,Mailed check,Loyal
